EpisodeRange,RollingAvgReward,RollingAvgWinRatio,RollingAvgEpsilon,RollingAvgSquaresRevealed,CumulativeAvgReward,CumulativeAvgWinRatio,CumulativeAvgEpsilon,CumulativeAvgSquaresRevealed,SubStateSize,Gamma,LR,EpsilonStart,EpsilonMin,EpsilonDecay,BufferCapacity,BatchSize,TargetUpdateFreq,Rows,Cols,NumMines,TotalEpisodes
1-100,-0.203,0.000,0.981,73.290,-0.203,0.000,0.981,73.290,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
101-200,-0.182,0.000,0.938,75.300,-0.192,0.000,0.960,74.295,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
201-300,-0.192,0.000,0.895,74.340,-0.192,0.000,0.938,74.310,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
301-400,-0.217,0.000,0.853,72.070,-0.198,0.000,0.917,73.750,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
401-500,-0.133,0.010,0.808,76.960,-0.185,0.002,0.895,74.392,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
501-600,-0.116,0.010,0.761,78.560,-0.174,0.003,0.873,75.087,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
601-700,-0.093,0.030,0.708,75.190,-0.162,0.007,0.849,75.101,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
701-800,-0.117,0.020,0.659,75.670,-0.157,0.009,0.826,75.172,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
801-900,-0.196,0.010,0.612,71.240,-0.161,0.009,0.802,74.736,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
901-1000,-0.059,0.040,0.562,75.570,-0.151,0.012,0.778,74.819,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
1001-1100,-0.118,0.020,0.508,75.640,-0.148,0.013,0.753,74.894,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
1101-1200,-0.130,0.020,0.450,74.500,-0.146,0.013,0.728,74.861,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
1201-1300,0.036,0.060,0.391,78.720,-0.132,0.017,0.702,75.158,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
1301-1400,0.199,0.100,0.330,82.680,-0.109,0.023,0.675,75.695,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
1401-1500,0.239,0.110,0.257,83.670,-0.085,0.029,0.647,76.227,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
1501-1600,0.409,0.190,0.179,77.200,-0.055,0.039,0.618,76.287,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
1601-1700,0.974,0.360,0.097,82.220,0.006,0.058,0.588,76.636,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
1701-1800,1.202,0.430,0.050,83.910,0.072,0.078,0.558,77.041,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
1801-1900,1.274,0.450,0.050,84.970,0.136,0.098,0.531,77.458,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
1901-2000,1.255,0.440,0.050,86.050,0.192,0.115,0.507,77.888,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
2001-2100,1.529,0.540,0.050,83.650,0.255,0.135,0.485,78.162,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
2101-2200,0.858,0.320,0.050,82.620,0.283,0.144,0.465,78.365,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
2201-2300,0.750,0.300,0.050,78.190,0.303,0.150,0.447,78.357,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
2301-2400,0.923,0.350,0.050,80.290,0.329,0.159,0.431,78.438,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
2401-2500,0.968,0.360,0.050,81.740,0.354,0.167,0.415,78.570,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
2501-2600,1.024,0.380,0.050,81.290,0.380,0.175,0.401,78.674,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
2601-2700,0.891,0.340,0.050,80.140,0.399,0.181,0.388,78.729,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
2701-2800,0.705,0.270,0.050,82.300,0.410,0.184,0.376,78.856,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
2801-2900,0.555,0.210,0.050,85.140,0.415,0.185,0.365,79.073,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
2901-3000,0.634,0.240,0.050,84.060,0.422,0.187,0.355,79.239,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
3001-3100,0.744,0.270,0.050,85.930,0.433,0.190,0.345,79.455,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
3101-3200,0.814,0.310,0.050,81.340,0.445,0.193,0.336,79.514,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
3201-3300,0.977,0.360,0.050,82.540,0.461,0.198,0.327,79.605,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
3301-3400,0.915,0.330,0.050,85.090,0.474,0.202,0.319,79.767,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
3401-3500,0.919,0.330,0.050,85.480,0.487,0.206,0.311,79.930,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
3501-3600,1.110,0.390,0.050,86.470,0.504,0.211,0.304,80.112,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
3601-3700,0.597,0.240,0.050,80.690,0.507,0.212,0.297,80.127,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
3701-3800,0.817,0.300,0.050,84.320,0.515,0.214,0.290,80.238,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
3801-3900,0.990,0.350,0.050,86.440,0.527,0.218,0.284,80.397,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
3901-4000,0.698,0.280,0.050,78.910,0.531,0.219,0.278,80.359,3,0.99,0.0001,1.0,0.05,0.0001,3000,32,1000,10,10,8,4000
